"eol_id","Taxa category","Latin name","Italian common name","Florae url ","Acta planctorum url","Floritaly url"
"1143547","Specie","Fagus sylvatica","Faggio comune","https://www.florae.it/?id=6654","http://www.actaplantarum.org/flora/flora_info.php?id=3132","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=259"
"1147588","Specie","Corylus maxima","Nocciolo lungo","https://www.florae.it/?id=6653","http://www.actaplantarum.org/flora/flora_info.php?id=2305","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=257"
"46321639","Specie","Corylus avellana","Nocciolo comune; Avellana","https://www.florae.it/?id=6652","http://www.actaplantarum.org/flora/flora_info.php?id=2303","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=256"
"1148598","Specie","Carpinus orientalis","Carpino orientale","https://www.florae.it/?id=6651","http://www.actaplantarum.org/flora/flora_info.php?id=1791","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=254"
"1148643","Specie","Carpinus betulus","Carpino comune","https://www.florae.it/?id=6650","http://www.actaplantarum.org/flora/flora_info.php?id=1790","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=253"
"29892","Genere","Corylus","Nocciolo","https://www.florae.it/?id=6649",NULL,NULL
"1153530","Specie","Ostrya carpinifolia","Carpino nero; Carpinella","https://www.florae.it/?id=6648","http://www.actaplantarum.org/flora/flora_info.php?id=5597","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=255"
"44522","Genere","Carpinus","Carpino","https://www.florae.it/?id=6647",NULL,NULL
"1145955","Specie","Alnus cordata","Ontano cordato","https://www.florae.it/?id=6644","http://www.actaplantarum.org/flora/flora_info.php?id=564","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=252"
"1145874","Specie","Alnus glutinosa","Ontano comune","https://www.florae.it/?id=6643","http://www.actaplantarum.org/flora/flora_info.php?id=565","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=250"
